Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE
2000-12-12,39.058279278379,,0.98827218053277,,8.5516525262254,14.702671725459,29.969097611024328,41.361718177433445,,35.12307857834875,42.941451834571,8.8351228600275,33.995506054185,7.023929464485487,,18.497938148499
2000-12-13,39.699585523299,,0.96385453237917,,8.7474283025199,15.177234949114,28.541997724785073,41.361718177433445,,32.88720570237522,39.126346227358,8.8779425184767,34.237506097283,7.053114766969499,,18.497938148499
2000-12-14,40.422760650549,,0.92787062983701,,8.9806930572537,14.099214786737,27.828447781665446,41.361718177433445,,28.47508322712077,39.535107542416,8.9635818353752,34.820506201108,7.174720193986214,,18.337746341379
2000-12-15,38.805850224527,,0.90345298168341,,9.5805167122837,13.712533641537,27.157710835133,40.0548973094477,,31.0239783057306,38.904037441975,9.1919533471045,32.934005865145,6.719915896943698,,18.20706355136
2000-12-18,38.887719106857,,0.91566180576021,,10.022053569458,14.518119360704,28.18522275322526,41.88528423031235,,31.58046222152846,38.050658556151,9.5487838341816,32.895505858289,6.719915896943698,,18.181770108131
2000-12-19,38.928653548022,,0.89959756355389,,10.321965396973,14.737824556841,26.85088435959156,42.136595935694224,,31.79908090273476,39.578135049265,9.7271990777201,32.758005833802,6.476705042910267,,18.497938148499
2000-12-20,35.817636019474,,0.9240152117075,,9.9845645910191,14.298414164568,26.40134789542619,41.88528423031235,,28.445271588774453,36.437127049341,9.5487838341816,32.417005773074,5.85165314804435,,19.075471768906
2000-12-21,35.053526451058,,0.90345298168341,,10.061625268922,14.099214786737,28.898772696344885,45.02668054758578,,29.717234824883846,34.020415414697,9.9484339797078,32.450005778951,5.86867790782669,,19.286250462485
2000-12-22,37.311743122,,0.96385453237917,,10.401108795901,13.879509590601,28.855959699757708,46.07381265334358,,32.6387753828226,35.318411871286,9.8556580530678,32.725005827925,5.858949473665353,,19.206154558925
2000-12-26,36.499876705559,,0.94393487204333,,10.542733825561,14.116791202428,29.926284614437147,53.655049099030116,,32.76299054259891,37.017998391793,9.9912536381571,33.654505993457,5.807875194318332,,19.733101292873
2000-12-27,38.164543979607,,0.95164570830237,,10.790577627466,14.225179099189,30.511395567795248,56.293822005539795,,32.544371861392605,39.843471341496,10.212488540145,34.545506152134,6.019468637327417,,19.627711946083
2000-12-28,37.734732347373,,0.95164570830237,,10.959278030443,14.207602683498,30.640226231698676,60.482350428571024,,30.621521188055365,38.724756163441,10.440860051874,34.859006207964,6.445087631885922,,19.391639809275
2000-12-29,37.352677563166,,0.95614369612013,,10.517741173268,14.190026267807,30.37540764478607,59.18390661743135,,28.91232058953337,36.709634592713,10.704914612311,34.820506201108,6.552100407660632,,19.522322599294
2001-01-02,34.712406108016,,0.95614369612013,,10.401108795901,14.099214786737,29.523693811202296,55.74931331054574,,23.224508423376243,33.704880364476,10.440860051874,34.133006078672,6.248086840118843,,19.050178325677
2001-01-03,38.294169709963,,1.0518865796698,,10.609380898342,13.785768706916,28.185286358427792,56.54513371092167,,28.79580607854525,39.083318720509,9.9912536381571,33.41250595036,6.6566810748950065,,18.23235699459
2001-01-04,39.740519964464,,1.0962238881592,,9.7367207891144,12.523196179784,26.66079016890389,56.293822005539795,,26.713403119119906,37.383732200003,10.034073296606,31.17950555269,7.144171450207713,,16.887588929555
2001-01-05,37.564172175852,,1.0518865796698,,9.3972372621356,12.596431245163,27.154641047200364,58.38808621705541,,25.595167639714887,34.156669186383,9.8556580530678,30.184005375404,7.0686104420342435,,16.862295486326
2001-01-08,36.329316534038,,1.0640954037466,,9.9720682648726,12.467537530096,27.333572524844016,57.3409541112976,,24.631000159694562,32.987755250338,10.483679710323,32.384005767197,7.022298856379536,,17.363948777044
2001-01-09,36.158756362516,,1.1045772941065,,9.9970609171656,12.742901375921,26.12399573597294,57.59226581667948,,24.755248546295118,32.901700236642,10.483679710323,33.379505944483,8.089902778314363,,17.338655333815
2001-01-10,37.734732347373,,1.0640954037466,,10.361537096437,12.523196179784,26.03810862670399,58.13677451167354,,22.73745474790206,35.275384364438,10.483679710323,33.484005963093,8.638329450541157,,17.153170083465
2001-01-11,39.269773891065,,1.156625438855,,10.009557243312,12.376072164514,25.76613278068564,62.32530293470477,,23.885509840091213,37.247478428317,10.262444808336,33.30800593175,8.470145271058275,,16.495540559498
2001-01-12,38.294169709963,,1.1045772941065,,10.230325671899,12.817444210324,24.914418947101865,59.18390661743135,,25.06835448052852,37.649068492234,10.212488540145,33.995506054185,8.657829065553667,,16.706319253077
2001-01-16,39.699585523299,,1.1000793062888,,10.180340367314,13.241161374302,26.03810862670399,60.98497383933478,,25.287031640945504,37.692095999082,10.526499368773,34.100006072796,8.835763052542804,,16.546127445957
2001-01-17,42.257988096118,,1.0801596459529,,10.205333019607,13.020475351397,25.14345123848574,59.686530028195094,,26.589154732519347,41.327920327761,10.569319027222,33.170505907263,9.384189724769598,,16.571420889187
2001-01-18,46.092180751917,,1.2009627473444,,9.3597482836962,13.258816256134,26.12399573597294,59.937841733576974,,27.831638598524925,41.951819177061,9.9912536381571,33.033005882776,9.296441457213312,,16.731612696307
2001-01-19,44.727699379747,,1.2530108920929,,8.7599246286663,12.964568225594,25.45121338003282,60.23103872318916,,28.949874077929945,41.098440291237,9.7700187361693,33.000005876899,9.506062318597776,,17.047780736675
2001-01-22,42.810603051847,,1.2369466498866,,9.1889651596947,13.002820469564,26.753834537278593,58.63939792243728,,29.789793171349714,40.159006391716,9.8556580530678,32.279505748587,9.65962178682128,,17.444044680604
